time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
1.375008,nan,0.015948,-0.001439
1.380008,0.124257,0.034966,-0.001454
1.385009,nan,0.033798,-0.001470
1.390009,-0.040839,0.021800,-0.001482
1.395009,nan,0.021413,-0.001489
1.400009,0.094849,0.036867,-0.001492
1.405010,nan,0.036742,-0.001488
1.410010,0.013802,0.032171,-0.001483
1.415010,nan,0.033218,-0.001477
1.420010,-0.072219,0.013114,-0.001469
1.425011,nan,0.013277,-0.001460
1.430011,-0.085952,-0.006265,-0.001453
1.435011,nan,-0.006056,-0.001447
1.440011,-0.112974,-0.026258,-0.001438
1.445011,nan,-0.028436,-0.001423
1.450012,-0.004131,-0.023802,-0.001405
1.455012,nan,-0.024455,-0.001387
1.460012,-0.094969,-0.037386,-0.001369
1.465012,nan,-0.039169,-0.001347
1.470013,-0.066025,-0.043822,-0.001320
1.475013,nan,-0.046468,-0.001286
1.480013,0.026492,-0.032882,-0.001245
1.485013,nan,-0.032050,-0.001200
1.490014,0.233091,0.013545,-0.001146
1.495014,nan,0.014459,-0.001087
1.500014,0.038505,0.019490,-0.001023
1.505014,nan,0.020466,-0.000959
1.510015,0.130612,0.040486,-0.000892
1.515015,nan,0.042094,-0.000825
1.520015,0.003608,0.036649,-0.000758
1.525015,nan,0.036355,-0.000688
1.530015,0.033014,0.036625,-0.000613
1.535016,nan,0.035228,-0.000533
1.540016,-0.131974,0.005401,-0.000451
1.545016,nan,0.004403,-0.000369
1.550016,-0.082001,-0.011257,-0.000283
1.555017,nan,-0.010946,-0.000194
1.560017,0.011875,-0.008446,-0.000107
1.565017,nan,-0.007628,-0.000022
1.570017,-0.088627,-0.022980,0.000060
1.575018,nan,-0.024174,0.000137
1.580018,0.194924,0.015762,0.000207
1.585018,nan,0.018165,0.000274
1.590018,-0.187109,-0.018065,0.000334
1.595019,nan,-0.017516,0.000391
1.600019,-0.064979,-0.025964,0.000450
1.605019,nan,-0.024155,0.000512
1.610019,-0.063878,-0.031230,0.000577
1.615019,nan,-0.030370,0.000644
1.620020,-0.023054,-0.029933,0.000712
1.625020,nan,-0.027101,0.000778
1.630020,-0.010722,-0.024750,0.000842
1.635020,nan,-0.026258,0.000911
1.640021,0.007272,-0.019016,0.000984
1.645021,nan,-0.017444,0.001057
1.650021,-0.121407,-0.039168,0.001134
1.655021,nan,-0.037753,0.001216
1.660022,0.024104,-0.026959,0.001306
1.665022,nan,-0.026945,0.001401
1.670022,0.126283,0.001218,0.001496
1.675022,nan,0.000308,0.001591
1.680022,0.084994,0.015608,0.001682
1.685023,nan,0.016144,0.001767
1.690023,-0.079014,-0.001235,0.001843
1.695023,nan,-0.000951,0.001917
1.700023,0.033673,0.007417,0.001993
1.705024,nan,0.007405,0.002074
1.710024,-0.116496,-0.015976,0.002158
1.715024,nan,-0.017051,0.002246
1.720024,0.041849,-0.006248,0.002336
1.725025,nan,-0.007836,0.002425
1.730025,-0.008331,-0.007932,0.002510
1.735025,nan,-0.009097,0.002591
1.740025,-0.134223,-0.032457,0.002669
1.745026,nan,-0.035436,0.002743
1.750026,-0.174208,-0.059961,0.002806
1.755026,nan,-0.060268,0.002860
1.760026,0.080261,-0.035039,0.002910
1.765026,nan,-0.034844,0.002958
1.770027,-0.099732,-0.046834,0.003006
1.775027,nan,-0.048653,0.003056
1.780027,-0.052115,-0.051161,0.003107
1.785027,nan,-0.052282,0.003158
1.790028,0.152380,-0.016794,0.003204
1.795028,nan,-0.020204,0.003246
1.800028,-0.056431,-0.027804,0.003283
1.805028,nan,-0.029316,0.003314
1.810029,-0.076630,-0.037051,0.003336
1.815029,nan,-0.039028,0.003355
1.820029,0.026516,-0.026406,0.003372
1.825029,nan,-0.025696,0.003388
1.830029,-0.043882,-0.030832,0.003403
1.835030,nan,-0.029481,0.003412
1.840030,0.148356,0.005263,0.003415
1.845030,nan,0.004755,0.003412
1.850030,0.057145,0.014861,0.003408
1.855031,nan,0.015119,0.003402
1.860031,-0.036744,0.007274,0.003396
1.865031,nan,0.008429,0.003389
1.870031,-0.034748,0.000255,0.003383
1.875032,nan,0.001100,0.003375
1.880032,-0.130165,-0.021109,0.003365
1.885032,nan,-0.021851,0.003354
1.890032,-0.090228,-0.034624,0.003349
1.895033,nan,-0.035125,0.003347
1.900033,0.123375,-0.005915,0.003348
1.905033,nan,-0.005688,0.003351
1.910033,-0.134788,-0.026736,0.003357
1.915033,nan,-0.028636,0.003367
1.920034,-0.045058,-0.032446,0.003377
1.925034,nan,-0.029528,0.003383
1.930034,0.000541,-0.025541,0.003388
1.935034,nan,-0.025622,0.003391
1.940035,-0.005482,-0.021135,0.003393
1.945035,nan,-0.022481,0.003395
1.950035,0.186814,0.016505,0.003403
1.955035,nan,0.013377,0.003415
1.960036,0.184624,0.044208,0.003434
1.965036,nan,0.045784,0.003457
1.970036,-0.046027,0.031693,0.003483
1.975036,nan,0.032387,0.003509
1.980036,-0.101754,0.009149,0.003538
1.985037,nan,0.008369,0.003571
1.990037,0.074446,0.020709,0.003603
1.995037,nan,0.020392,0.003633
2.000037,-0.141956,-0.006364,0.003659
2.005037,nan,-0.004460,0.003679
2.010037,-0.052904,-0.011779,0.003697
2.015036,nan,-0.013533,0.003715
2.020036,-0.213350,-0.047972,0.003735
2.025036,nan,-0.050744,0.003757
2.030035,-0.070851,-0.054687,0.003782
2.035035,nan,-0.058324,0.003808
2.040035,-0.063158,-0.059979,0.003835
2.045034,nan,-0.060299,0.003865
2.050034,-0.114942,-0.070616,0.003896
2.055033,nan,-0.071405,0.003930
2.060033,-0.153649,-0.086306,0.003968
2.065033,nan,-0.085395,0.004010
2.070032,0.032250,-0.062628,0.004056
2.075032,nan,-0.064707,0.004101
2.080032,0.012077,-0.050402,0.004147
2.085031,nan,-0.049936,0.004195
2.090031,-0.336791,-0.101790,0.004247
2.095031,nan,-0.102984,0.004300
2.100030,0.165395,-0.053544,0.004355
2.105030,nan,-0.054395,0.004414
2.110029,-0.058069,-0.054711,0.004476
2.115029,nan,-0.052904,0.004544
2.120029,0.171384,-0.011177,0.004615
2.125028,nan,-0.009832,0.004687
2.130028,-0.129016,-0.030356,0.004755
2.135028,nan,-0.028169,0.004819
2.140027,-0.093712,-0.041841,0.004879
2.145027,nan,-0.039626,0.004929
2.150027,0.022515,-0.028364,0.004965
2.155026,nan,-0.025391,0.004990
2.160026,-0.085703,-0.035870,0.005002
2.165025,nan,-0.038816,0.004998
2.170025,0.104787,-0.014936,0.004979
2.175025,nan,-0.018939,0.004941
2.180024,-0.035965,-0.024349,0.004884
2.185024,nan,-0.023939,0.004812
2.190024,-0.001369,-0.019560,0.004731
2.195023,nan,-0.021803,0.004642
2.200023,-0.011074,-0.017224,0.004551
2.205023,nan,-0.016995,0.004462
2.210022,0.000268,-0.013802,0.004370
2.215022,nan,-0.012773,0.004269
