MsgID.LOCAL_POSITION,78.0600000,180.5594025,53.8170357,-3.0660071
MsgID.LOCAL_VELOCITY,78.0600000,-0.0171360,0.0116112,0.1173089
MsgID.GLOBAL_POSITION,0.0000000,-122.3968474,37.7941053,3.0700000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,0.0100000,0.1700000
MsgID.LOCAL_POSITION,78.3100000,180.5423279,53.8447227,-3.0700586
MsgID.LOCAL_VELOCITY,78.3100000,-0.0383205,0.0123623,0.1904287
MsgID.GLOBAL_POSITION,0.0000000,-122.3968477,37.7941040,3.0850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,78.5600000,180.3871307,53.8313103,-3.0887709
MsgID.LOCAL_VELOCITY,78.5600000,0.0000022,-0.0000167,0.0000993
MsgID.GLOBAL_POSITION,0.0000000,-122.3968458,37.7941037,3.1320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,78.8100000,180.3685455,54.0046196,-3.1349583
MsgID.LOCAL_VELOCITY,78.8100000,0.0000019,-0.0000172,0.0000036
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968459,37.7941041,3.1720000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,79.0610000,180.4098358,53.9768753,-3.1746192
MsgID.LOCAL_VELOCITY,79.0610000,-0.0000025,-0.0000467,-0.0000192
MsgID.GLOBAL_POSITION,0.0000000,-122.3968471,37.7941030,3.2000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,79.3110000,180.2823944,53.8904800,-3.2019184
MsgID.LOCAL_VELOCITY,79.3110000,-0.0000034,-0.0000516,-0.0000175
MsgID.GLOBAL_POSITION,0.0000000,-122.3968456,37.7941033,3.2120000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,79.5610000,180.3282776,54.0075111,-3.2124944
MsgID.LOCAL_VELOCITY,79.5610000,0.0000034,-0.0000552,-0.0001227
MsgID.GLOBAL_POSITION,0.0000000,-122.3968480,37.7941043,3.2040000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,79.8200000,180.4260559,53.7889061,-3.2036250
MsgID.LOCAL_VELOCITY,79.8200000,0.0000001,-0.0000425,-0.0000166
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968488,37.7941039,3.1780000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,80.0700000,180.3898926,53.7255173,-3.1759574
MsgID.LOCAL_VELOCITY,80.0700000,0.0000085,-0.0000451,-0.0000534
MsgID.GLOBAL_POSITION,0.0000000,-122.3968486,37.7941039,3.1370000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,80.3200000,180.3896027,53.7604103,-3.1329024
MsgID.LOCAL_VELOCITY,80.3200000,0.0000080,-0.0000160,0.0001165
MsgID.GLOBAL_POSITION,0.0000000,-122.3968472,37.7941043,3.0870000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,80.5700000,180.4414368,53.8771667,-3.0812013
MsgID.LOCAL_VELOCITY,80.5700000,0.0000020,-0.0000270,-0.0000052
MsgID.GLOBAL_POSITION,0.0000000,-122.3968474,37.7941055,3.0330000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-0.0100000
MsgID.LOCAL_POSITION,80.8200000,180.5673065,53.8586197,-3.0294254
MsgID.LOCAL_VELOCITY,80.8200000,-0.0000437,0.0000404,-0.0148229
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3968473,37.7941052,3.0010000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.0000000,-0.1400000
MsgID.LOCAL_POSITION,81.0710000,180.5207672,53.8587952,-3.0008090
MsgID.LOCAL_VELOCITY,81.0710000,-0.0161917,0.0003403,-0.1602962
MsgID.GLOBAL_POSITION,0.0000000,-122.3968469,37.7941046,3.0140000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,0.0000000,-0.1900000
MsgID.LOCAL_POSITION,81.3210000,180.4658051,53.9119835,-3.0167458
MsgID.LOCAL_VELOCITY,81.3210000,-0.0362156,0.0028858,-0.2020494
MsgID.GLOBAL_POSITION,0.0000000,-122.3968453,37.7941044,3.0320000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,0.0000000,-0.1600000
MsgID.LOCAL_POSITION,81.5710000,180.4240723,54.0365791,-3.0345190
MsgID.LOCAL_VELOCITY,81.5710000,-0.0365094,-0.0021394,-0.1614642
MsgID.GLOBAL_POSITION,0.0000000,-122.3968467,37.7941026,3.0430000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,-0.0100000,-0.0200000
