MsgID.STATE,0.0000000,True,True,1
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,165.1370000,207.4469910,-91.2181931,-0.1124699
MsgID.LOCAL_VELOCITY,165.1370000,0.0000739,-0.0002037,0.0000144
MsgID.GLOBAL_POSITION,0.0000000,-122.3984813,37.7943460,0.1670000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,165.3870000,207.2846985,-91.3784332,-0.1677426
MsgID.LOCAL_VELOCITY,165.3870000,0.0000736,-0.0000384,0.0000115
MsgID.GLOBAL_POSITION,0.0000000,-122.3984806,37.7943463,0.2070000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,165.6370000,207.3253784,-91.3171616,-0.2075089
MsgID.LOCAL_VELOCITY,165.6370000,0.0000502,0.0005545,-0.0000868
MsgID.GLOBAL_POSITION,0.0000000,-122.3984807,37.7943471,0.2280000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,165.8880000,207.4134064,-91.3238144,-0.2287404
MsgID.LOCAL_VELOCITY,165.8880000,0.0000153,0.0007433,-0.0000692
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984785,37.7943472,0.2300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,166.1380000,207.4231415,-91.1271362,-0.2307250
MsgID.LOCAL_VELOCITY,166.1380000,0.0000748,-0.0002134,0.0000123
MsgID.GLOBAL_POSITION,0.0000000,-122.3984779,37.7943486,0.2150000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,166.3880000,207.5727539,-91.0772324,-0.2149645
MsgID.LOCAL_VELOCITY,166.3880000,0.0000626,-0.0002290,0.0000196
MsgID.GLOBAL_POSITION,0.0000000,-122.3984796,37.7943480,0.1880000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,166.6380000,207.5136261,-91.2329865,-0.1885843
MsgID.LOCAL_VELOCITY,166.6380000,0.0000618,0.0001454,0.0000239
MsgID.GLOBAL_POSITION,0.0000000,-122.3984812,37.7943464,0.1600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,166.8880000,207.3315887,-91.3712692,-0.1603813
MsgID.LOCAL_VELOCITY,166.8880000,0.0000798,-0.0002159,0.0000158
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984807,37.7943482,0.1230000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,167.1380000,207.5385895,-91.3274460,-0.1229690
MsgID.LOCAL_VELOCITY,167.1380000,0.0000408,0.0005420,-0.0000644
MsgID.GLOBAL_POSITION,0.0000000,-122.3984802,37.7943487,0.1000000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,167.3880000,207.5812836,-91.2737274,-0.0991281
MsgID.LOCAL_VELOCITY,167.3880000,0.0000871,0.0000565,0.0000098
MsgID.GLOBAL_POSITION,0.0000000,-122.3984790,37.7943476,0.0700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,167.6380000,207.4606934,-91.1776810,-0.0697131
MsgID.LOCAL_VELOCITY,167.6380000,0.0000616,-0.0002281,0.0000247
MsgID.GLOBAL_POSITION,0.0000000,-122.3984809,37.7943473,0.0510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,167.8880000,207.4340210,-91.3420181,-0.0510909
MsgID.LOCAL_VELOCITY,167.8880000,0.0000652,-0.0002036,0.0000180
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3984782,37.7943470,0.0430000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
